trip_id,stop_sequence,stop_id,arrival_time,departure_time,datetime_estimated
M1F1,1,GDLM,09:10:00,09:10:00,
M1F1,2,CHAM,09:20:00,09:20:00,
M1B1,8,GDLM,11:00:00,11:00:00,
M1B1,7,CHAM,10:50:00,10:50:00,
B42F1,20,MTPB,10:20:00,10:20:00,
B42B1,20,MTPB,07:00:00,07:00:00,
RERAF1,1,NATR,08:09:00,08:10:00,
RERAF1,02,GDLR,08:14:00,08:15:00,
RERAF1,3,CDGR,08:19:00,08:20:00,
RERAF1,05,DEFR,08:24:00,08:25:00,
RERAB1,21,NATR,09:49:00,09:50:00,
RERAB1,13,GDLR,09:44:00,09:45:00,
RERAB1,08,CDGR,09:39:00,09:40:00,0
RERAB1,05,DEFR,09:24:00,09:25:00,1
