route_id,route_short_name,route_long_name,route_type
route:1,line:1,,1
route:2,line:2,,2
route:3,line:3,,3
route:4,line:4,,4
route:5,line:5,,5
route:6,line:6,,6
route:7,line:7,,7
route:101,line:101,,101
route:51,line:51,,51
route:203,line:203,,203
route:313,line:313,,313
route:403,line:403,,403
route:555,line:555,,555
route:666,line:666,,666
route:721,line:721,,721
route:899,line:899,,899
route:999,line:999,,999
route:1010,line:1010,,1010
route:1111,line:1111,,1111
route:1200,line:1200,,1200
route:1303,line:1303,,1303
route:1402,line:1402,,1402
route:1505,line:1505,,1505
route:1604,line:1604,,1604
route:1666,line:1666,,1666
route:1702,line:1702,,1702
