route_id,route_name,line_id,geometry_id
M1F,Nation - Charles de Gaulle,M1,geo:2:kept
M1B,Charles de Gaulle - Nation,M1,
B42F,Gare de Lyon - Montparnasse,B42,
B42B,Montparnasse - Gare de Lyon,B42,
RERAF,Nation - La Défense,RERA,
RERAB,La Défense - Nation,RERA,
M1F_R,Nation - Charles de Gaulle retour,M1,
M1B_R,Charles de Gaulle - Nation retour,M1,
B42F_R,Gare de Lyon - Montparnasse retour,B42,
B42B_R,Montparnasse - Gare de Lyon retour,B42,
RERAF_R,Nation - La Défense retour,RERA,
RERAB_R,La Défense - Nation retour,RERA,geo:5:removed
