trip_id,stop_sequence,stop_id,arrival_time,departure_time,datetime_estimated,stop_time_id,stop_headsign
M1F1,0,NATM,9:00:00,9:00:00,,stoptime:1,
M1F1,1,GDLM,09:10:00,09:10:00,,stoptime:2,
M1F1,2,CHAM,09:20:00,09:20:00,,stoptime:3,
M1F1,3,CDGM,09:40:00,09:40:00,,stoptime:4,
M1B1,9,NATM,11:10:00,11:10:00,,stoptime:5,headsign kept
M1B1,8,GDLM,11:00:00,11:00:00,,stoptime:6,
M1B1,7,CHAM,10:50:00,10:50:00,,stoptime:7,
M1B1,6,CDGM,10:40:00,10:40:00,,stoptime:8,
B42F1,10,GDLB,10:10:00,10:10:00,,stoptime:9,
B42F1,20,MTPB,10:20:00,10:20:00,,stoptime:10,
B42B1,30,GDLB,07:10:00,07:10:00,,stoptime:11,
B42B1,20,MTPB,07:00:00,07:00:00,,stoptime:12,
RERAF1,1,NATR,08:09:00,08:10:00,,stoptime:13,
RERAF1,02,GDLR,08:14:00,08:15:00,,stoptime:14,
RERAF1,3,CDGR,08:19:00,08:20:00,,stoptime:15,
RERAF1,05,DEFR,08:24:00,08:25:00,,stoptime:16,
RERAB1,21,NATR,09:49:00,09:50:00,,stoptime:17,
RERAB1,13,GDLR,09:44:00,09:45:00,,stoptime:18,
RERAB1,08,CDGR,09:39:00,09:40:00,0,stoptime:19,headsign removed
RERAB1,05,DEFR,09:24:00,09:25:00,1,stoptime:20,
RERAB1,50,MTPZ,19:24:00,19:25:00,,stoptime:21,
RERAB1,51,CDGZ,19:26:00,19:27:00,0,stoptime:22,
RERAB1,52,MTPZ,19:34:00,19:35:00,1,stoptime:23,
